
from scratch
loss:横纵:None,lc:no_lc = None,time = 10/55,9/55...1/55
epoch 01:3.669
epoch 02:3.8425
epoch 03:4.1623
epoch 04:3.6004
epoch 05:3.7632
epoch 06:3.6186
epoch 07:3.7893
epoch 08:3.7437
epoch 09:3.5372
epoch 10:3.5496
epoch 11:2.0653
epoch 12:1.9909
epoch 13:1.8413
epoch 14:1.9884
epoch 15:1.9927
epoch 16:2.2311
epoch 17:1.828
epoch 18:1.8773
epoch 19:1.7868
epoch 20:1.987
epoch 21:1.7643
epoch 22:1.7911
epoch 23:1.8684
epoch 24:2.1782
epoch 25:1.8818
epoch 26:1.8825
epoch 27:1.873
epoch 28:1.7901
epoch 29:1.704
epoch 30:1.8435
epoch 31:1.72
epoch 32:1.6418
epoch 33:1.9843
epoch 34:1.7463
epoch 35:1.9546
epoch 36:1.6665
epoch 37:2.0904
epoch 38:1.8325
epoch 39:1.5483
epoch 40:1.6396
epoch 41:1.7959
epoch 42:1.5833
epoch 43:1.8444
epoch 44:1.7451
epoch 45:1.6024
epoch 46:1.5572
epoch 47:1.9362
epoch 48:1.8382
epoch 49:1.5726
epoch 50:1.6496
epoch 51:1.3936
epoch 52:1.4735
epoch 53:1.4953
epoch 54:1.5221
epoch 55:1.689
epoch 56:1.5061
epoch 57:1.6188
epoch 58:1.6008
epoch 59:1.5151
epoch 60:1.6506
epoch 61:1.7412
epoch 62:1.5036
epoch 63:1.6569
epoch 64:1.3406
epoch 65:1.6312
epoch 66:1.7452
epoch 67:1.5593
epoch 68:1.6005
epoch 69:1.7297
epoch 70:1.4227
